AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.1.576.0,

PROFILE DETAILS
CPU Details:,Family(0x1a) Model(0x24)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-21-2025_16-26-23,
Profile Duration:,20 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power
1,16:26:24:033,   44.49,    1.01,    1.00,    1.03,    3.63,    0.86,    0.82,    0.84,    0.89,    0.80,    0.83,    0.89,    0.85
2,16:26:24:135,   45.79,    0.99,    0.98,    1.01,    3.63,    0.86,    0.84,    0.85,    1.30,    0.81,    0.80,    0.81,    1.47
3,16:26:24:235,   46.09,    1.99,    0.85,    0.84,    2.74,    0.91,    0.69,    0.93,    1.03,    1.98,    1.67,    0.77,    0.69
4,16:26:24:342,   44.43,    3.11,    0.87,    0.86,    1.16,    2.24,    0.73,    0.82,    0.71,    1.25,    1.66,    0.77,    0.77
6,16:26:24:547,   45.53,    1.04,    1.03,    1.08,    3.80,    1.42,    0.85,    0.87,    0.84,    0.88,    0.86,    0.81,    0.87
7,16:26:24:650,   44.37,    0.89,    0.86,    0.89,    3.26,    1.16,    0.84,    0.93,    0.78,    0.79,    0.93,    0.76,    0.93
8,16:26:24:753,   45.08,    1.10,    1.04,    1.05,    3.74,    1.59,    0.87,    0.91,    0.91,    0.89,    0.87,    0.92,    0.85
9,16:26:24:855,   45.79,    1.11,    1.11,    1.13,    3.89,    0.94,    0.87,    0.87,    0.89,    0.87,    0.90,    0.88,    0.92
10,16:26:24:957,   45.25,    1.08,    1.07,    1.11,    3.83,    0.87,    0.82,    0.88,    0.89,    0.83,    0.90,    0.89,    0.84
11,16:26:25:060,   44.98,    1.07,    1.06,    1.09,    3.79,    0.87,    0.84,    0.87,    0.85,    0.90,    0.87,    0.90,    0.83
12,16:26:25:163,   44.32,    1.02,    1.02,    1.04,    3.72,    0.86,    0.80,    0.83,    0.85,    0.78,    0.83,    0.80,    0.82
13,16:26:25:265,   45.13,    1.07,    1.05,    1.09,    3.76,    0.95,    0.87,    0.94,    0.86,    0.81,    0.88,    0.90,    0.85
14,16:26:25:367,   45.56,    1.09,    1.08,    1.12,    3.84,    0.93,    0.87,    0.88,    0.96,    0.84,    0.91,    0.92,    0.93
15,16:26:25:470,   44.69,    1.08,    1.07,    1.10,    3.81,    0.89,    0.91,    0.88,    0.89,    0.88,    0.82,    0.80,    0.94
16,16:26:25:572,   45.31,    1.09,    1.09,    1.12,    3.84,    0.92,    0.92,    0.89,    0.91,    0.93,    0.95,    0.91,    1.11
17,16:26:25:674,   45.01,    1.39,    0.99,    1.02,    3.62,    0.92,    0.82,    0.90,    0.83,    0.87,    0.92,    0.83,    0.77
18,16:26:25:776,   45.06,    1.60,    1.06,    1.07,    3.73,    0.83,    0.87,    0.85,    0.84,    0.82,    0.88,    0.80,    0.85
19,16:26:25:878,   44.87,    1.08,    1.09,    1.09,    3.80,    0.87,    0.91,    0.93,    0.91,    0.85,    0.93,    0.90,    0.98
20,16:26:25:982,   44.84,    1.04,    1.03,    1.07,    3.71,    0.88,    0.89,    0.96,    0.90,    0.92,    0.93,    0.82,    0.94
21,16:26:26:081,   45.59,    1.07,    1.06,    1.11,    3.81,    1.04,    0.93,    0.91,    0.91,    0.92,    0.92,    0.82,    0.89
