Node Name,Op Type,Activation,Weights,Bias
/conv1/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/maxpool/MaxPool,MaxPool,BFLOAT16,,
/layer1/layer1.0/conv1/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.0/downsample/downsample.0/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.0/conv2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.0/conv3/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.0/Add,Add,BFLOAT16,,
/layer1/layer1.1/conv1/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.1/conv2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.1/conv3/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.1/Add,Add,BFLOAT16,,
/layer1/layer1.2/conv1/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.2/conv2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.2/conv3/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer1/layer1.2/Add,Add,BFLOAT16,,
/layer2/layer2.0/conv1/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.0/downsample/downsample.0/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.0/conv2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.0/conv3/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.0/Add,Add,BFLOAT16,,
/layer2/layer2.1/conv1/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.1/conv2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.1/conv3/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.1/Add,Add,BFLOAT16,,
/layer2/layer2.2/conv1/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.2/conv2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.2/conv3/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/layer2/layer2.2/Add,Add,BFLOAT16,,
