AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.1.576.0,

PROFILE DETAILS
CPU Details:,Family(0x1a) Model(0x24)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-21-2025_13-22-05,
Profile Duration:,20 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power
1,13:22:5:382,   44.04,    4.66,    4.70,    5.68,    5.57,    2.26,    2.31,    2.48,    2.45,    2.32,    2.43,    1.91,    2.44
2,13:22:5:484,   43.72,    4.71,    4.82,    4.83,    5.28,    1.80,    2.45,    2.04,    2.66,    2.45,    1.63,    1.71,    2.30
3,13:22:5:586,   42.72,    4.76,    4.79,    4.75,    4.71,    1.54,    2.49,    2.07,    2.65,    2.57,    1.57,    1.71,    2.58
4,13:22:5:689,   42.36,    4.67,    4.74,    4.61,    4.73,    1.43,    2.65,    2.64,    2.16,    1.91,    2.62,    1.34,    2.57
5,13:22:5:791,   43.18,    4.74,    5.11,    4.90,    4.74,    1.43,    1.75,    1.69,    2.60,    2.27,    2.61,    1.92,    2.54
6,13:22:5:892,   46.00,    4.60,    4.98,    5.28,    4.67,    2.38,    2.36,    2.44,    2.55,    2.48,    2.18,    2.49,    2.63
7,13:22:5:994,   45.36,    4.70,    4.82,    4.89,    4.66,    1.94,    2.55,    2.44,    3.06,    1.88,    2.53,    2.50,    2.50
8,13:22:6:097,   45.21,    4.84,    4.60,    4.72,    4.74,    1.64,    2.63,    2.41,    2.66,    1.62,    2.67,    3.44,    2.63
9,13:22:6:199,   44.94,    4.95,    4.60,    4.63,    4.68,    2.53,    1.81,    2.56,    2.30,    2.39,    2.55,    2.55,    2.17
10,13:22:6:301,   43.77,    4.72,    4.76,    5.52,    4.66,    2.40,    1.47,    1.59,    2.61,    2.56,    2.59,    2.54,    2.05
